Precincts,Demographics,Candidates,Abstain
247-FI,,,
217-BUCK CREEK,,,
211-WEST MORGAN,,,
211-NORTHEAST MORGAN,,,
219-DARK CORNER,,,
001-4D,,,
219-FARMINGTON,,,
247-FS,,,
291-IVY LOG,,,
217-COVINGTON MILLS,,,
141-SECOND BEULAH,,,
141-POWER OF GOD,,,
141-COURTHOUSE,,,
297-GOOD HOPE,,,
133-WHITE PLAINS,,,
217-CITY POND,,,
211-NORTH MORGAN,,,
297-MOUNTAIN,,,
069-WEST GREEN,,,
161-OCMULGEE 2,,,
161-WHITEHEAD 1,,,
141-ST MARK,,,
271-LUMBER-CITY,,,
219-HIGH SHOALS,,,
141-YOUTH CENTER,,,
133-SILOAM,,,
297-BROKEN ARROW,,,
297-BETWEEN,,,
297-WHATLEY,,,
069-NICHOLLS,,,
217-HUB,,,
141-MAYFIELD COMMUNITY CENTER,,,
161-WHITEHEAD 2,,,
161-BLACKBURN 2,,,
297-SOUTH MONROE,,,
297-LOGANVILLE NORTH,,,
297-WALKER PARK,,,
297-TARA,,,
297-BAY CREEK,,,
161-OCMULGEE 1,,,
297-JERSEY,,,
297-SOCIAL CIRCLE,,,
245-202,,,
245-303,,,
245-304,,,
289-SHADY GROVE/TARVERS,,,
245-108,,,
297-W MONROE,,,
297-E MONROE,,,
297-BOLD SPRINGS,,,
219-CIVIC CENTER,,,
219-EAST OCONEE,,,
297-BLASINGAME,,,
219-MARSWOOD HALL,,,
073-GOLD CROSS EMS,,,
097-WINSTON,,,
097-DORSETT SHOALS,,,
097-BRIGHT STAR,,,
059-6B,,,
217-BRICK STORE,,,
219-BOGART,,,
059-6D,,,
297-NORTH MONROE,,,
059-6A,,,
059-6C,,,
219-NORTH OCONEE,,,
163-STAPLETON,,,
189-134,,,
059-7C,,,
163-WRENS,,,
059-7A,,,
059-4B,,,
059-5B,,,
059-7B,,,
153-TMS,,,
153-TWPK,,,
175-REEDY SPRINGS,,,
153-CENT,,,
297-WALNUT GROVE,,,
125-MILL,,,
189-135,,,
163-STAPLETON CROSSROADS,,,
097-GOLDEN METHODIST CHURCH,,,
091-PLAINFIELD,,,
225-CLAUDE,,,
097-STEWART,,,
189-136,,,
153-MCMS,,,
153-CGTC,,,
225-BYRON 1,,,
091-JAYBIRD,,,
091-CLARK,,,
097-ARBOR STATION,,,
271-MCRAE,,,
153-FMMS,,,
097-OLD COURTHOUSE,,,
097-CHAPEL HILL,,,
097-ST JULIANS EPISCOPAL,,,
059-4A,,,
059-1B,,,
091-CHAUNCEY,,,
059-8A,,,
091-MULLIS,,,
091-JONES,,,
271-HELENA,,,
091-MILAN,,,
237-105,,,
303-DEEPSTEP,,,
059-8C,,,
237-106,,,
175-BURCH,,,
059-8B,,,
059-1D,,,
059-1C,,,
137-MUD CREEK,,,
137-TOWN OF MT AIRY,,,
141-WARREN CHAPEL,,,
137-DEMOREST,,,
031-NEVILS,,,
051-CHRIST COMMUNITY CHURCH,,,
051-NEW COV 7 DAY ADV CH,,,
029-PEMBROKE,,,
011-COLUMBIA,,,
133-GREENSBORO,,,
011-GOLDEN HILL,,,
011-WILMONTS,,,
141-SECOND DARRIEN,,,
011-BALDWIN,,,
137-CITY OF BALDWIN,,,
011-POPLAR SPRINGS,,,
001-5B,,,
161-ALTAMAHA 2,,,
011-HOLLINGSWORTH,,,
161-ALTAMAHA 1,,,
137-HABERSHAM SOUTH,,,
011-WASHINGTON,,,
211-EAST MORGAN,,,
011-BERLIN,,,
073-GENESIS CHURCH,,,
245-301,,,
245-302,,,
245-305,,,
219-ANTIOCH,,,
161-BLACKBURN 1,,,
161-HAZLEHURST,,,
005-DOUGLAS,,,
245-501,,,
073-SAVANNAH RAPIDS PAVILION,,,
245-708,,,
245-705,,,
001-5A,,,
033-GREENSCUT,,,
033-NORTH WAYNESBORO,,,
033-SOUTH WAYNESBORO,,,
245-306,,,
245-509,,,
245-401,,,
245-601,,,
245-504,,,
073-COL CTY BD OF EDU,,,
245-402,,,
245-310,,,
097-DOG RIVER LIBRARY,,,
245-309,,,
073-WEST ACRES BAPTIST,,,
073-CHURCH OF OUR SAVIOR,,,
245-706,,,
245-507,,,
245-503,,,
245-502,,,
097-CHURCH AT CHAPEL HILL,,,
045-FAIRFIELD,,,
045-HULETT,,,
313-CO,,,
245-404,,,
097-MIRROR LAKE ELEMENTARY,,,
045-VILLA RICA CITY,,,
097-EPHESUS BAPTIST CHURCH,,,
135-DULUTH C,,,
135-SUGAR HILL D,,,
135-DULUTH E,,,
135-PINCKNEYVILLE O,,,
135-DULUTH D,,,
121-SC16A,,,
121-SC01A,,,
135-PINCKNEYVILLE N,,,
135-PINCKNEYVILLE K,,,
121-SC01C,,,
121-SC01B,,,
121-SC18C,,,
121-SC07C,,,
121-SC20,,,
135-ROCKBRIDGE F,,,
135-BAYCREEK K,,,
135-DULUTH G,,,
121-SC05D,,,
121-SC09A,,,
121-SC18B,,,
121-SC08G,,,
121-SC09C,,,
121-AP01A,,,
121-CP04A,,,
121-CP012,,,
121-01G,,,
121-EP03B,,,
121-EP01B,,,
121-EP03A,,,
121-EP02B,,,
121-SC05E,,,
121-SC08H,,,
121-SC30B,,,
121-EP02A,,,
121-SC19B,,,
121-01E,,,
121-EP02D,,,
121-CP052,,,
121-CP084,,,
121-EP04B,,,
121-EP01A,,,
121-SC04,,,
121-12H2,,,
121-12H1,,,
121-10B,,,
121-JC18,,,
121-RW19,,,
121-EP02C,,,
121-EP02E,,,
135-BERKSHIRE L,,,
135-PUCKETTS B,,,
135-LAWRENCEVILLE I,,,
135-MARTINS F,,,
135-GOODWINS G,,,
135-PINCKNEYVILLE Y,,,
121-SC08B,,,
121-SC17C,,,
179-LEWIS FRASIER SCHOOL,,,
191-TOWNSEND,,,
191-SOUTH NEWPORT,,,
183-SOUTH LUDOWICI,,,
179-RICEBORO YOUTH CENTER,,,
051-ALDERSGATE YOUTH CENTER,,,
179-GUM BRANCH,,,
179-HINESVILLE LODGE 271,,,
051XFTPU,,,
251-JENK HILL FIRE STA,,,
251-SYLVANIA,,,
179-BUTTON GWINNETT,,,
251-COOPERVILLE FIRE STATION,,,
179-TOWN OF ALLENHURST,,,
179-HINESVILLE,,,
191-CRESCENT,,,
309-GLENWOOD,,,
283-SOPERTON,,,
209-AILEY,,,
303-SANDERSVILLE,,,
209-UVALDA,,,
179-FLEMING WEST,,,
051-TYBEE ISLAND SCHOOL CAFE,,,
251-GREENHILL CHURCH,,,
267-DISTRICT II,,,
267-COBBTOWN,,,
267-EAST GLENNVILLE,,,
209-MOUNT VERNON,,,
267-DISTRICT IV,,,
251-HUNTERS,,,
175-MINTER,,,
209-ALSTON,,,
031-SINKHOLE,,,
175-SMITH,,,
167-WRIGHTSVILLE,,,
267-COLLINS,,,
175-BREWTON,,,
209-HIGGSTON,,,
107-STILLMORE,,,
267-MANASSAS,,,
305-EMPIRE,,,
305-REC CENTER,,,
319-RAMAH,,,
031-REGISTER,,,
319-TURKEY CREEK,,,
109-VETERANS COMMUNITY CENTER,,,
031-STATESBORO,,,
167-SMITH,,,
009-COOPERS,,,
009-SCOTTSBORO,,,
175-W T ADAMS FIRE STA 18,,,
305-RED HILL,,,
319-BLOODWORTH,,,
303-HARRISON,,,
305-OGLETHORPE,,,
319-HIGH HILL,,,
319-IRWINTON,,,
319-MIDWAY,,,
175-DUDLEY,,,
229-MERSHON,,,
305-ODUM,,,
267-DISTRICT V,,,
279-513 VPD,,,
001-2,,,
319-GRIFFIN,,,
209-TARRYTOWN,,,
279-514 STIALC,,,
009-EAST HARDWICK,,,
009-EAST BALDWIN,,,
051-SKIDAWAY ISLAND PRES CHURCH,,,
001-4B,,,
051-WINDSOR HALL,,,
107-NUNEZ,,,
001-3C,,,
001-3A1,,,
175-HARVARD,,,
011-GROVE RIVER,,,
011-BUSHVILLE,,,
169-POPE,,,
011-ANDERSON,,,
305-SCREVEN,,,
009-NORTH MILLEDGEVILLE,,,
051-GEORGETOWN ELEMENTARY,,,
169-CLINTON,,,
289-DRY BRANCH,,,
207-CABANISS,,,
311-WHITE CREEK,,,
169-DAVIDSON,,,
051-WINDSOR FOREST BAPTIST,,,
157-NORTH JACKSON,,,
011-HOMER,,,
169-SANDERS,,,
217-BREWERS,,,
217-NEWBORN,,,
169-GRAY,,,
217-LEGUINN,,,
011-DAVIDS,,,
169-ETHRIDGE,,,
207-DILLARDS,,,
103-3C,,,
029-HWY 144 EAST,,,
305-PINE STREET,,,
159-MONTICELLO,,,
051-TRINITY LUTHERAN CHURCH,,,
207-MIDDLEBROOKS,,,
159-MARTIN-BURNEY,,,
217-MANSFIELD,,,
305-VFW,,,
183-ALMA FLOURNOY,,,
279-15361 LYONS,,,
103-3B,,,
183-BEARDS CREEK,,,
159-WYATT,,,
179-LIBERTY COUNTY COMPLEX,,,
051-CRUSADER COMM CENTER,,,
183-NORTH LUDOWICI,,,
179-WALTHOURVILLE,,,
179-MEMORIAL DR EAST,,,
051-FELLOWSHIP OF LOVE CHURCH,,,
179-LYMAN HALL SCHOOL,,,
305-UNITY,,,
305-MADRAY SPRINGS,,,
279-39 NEWBRANCH,,,
103-1D,,,
103-3D,,,
103-2C,,,
029FTSTEW,,,
103-3A,,,
267-SHILOH,,,
029-BLACK CREEK,,,
051-SAVANNAH HOLY C OF G,,,
303-TENNILLE,,,
303-DAVISBORO,,,
271-SCOTLAND,,,
103-1A,,,
001-1C,,,
103-1C,,,
103-2A,,,
103-4C,,,
217-OXFORD,,,
245-604,,,
245-115,,,
291-PAT COLWELL,,,
245-114,,,
103-4B,,,
303-RIDDLEVILLE,,,
001-1B,,,
123-BIG CREEK,,,
111-SKENIAH,,,
111-SUGAR CREEK,,,
217-ALCOVY,,,
111-NOONTOOTLA,,,
309-ALAMO,,,
245-605,,,
245-805,,,
111-MINERAL BLUFF,,,
111-FAIRPLAY,,,
291-COOSA,,,
123-CHERRY LOG,,,
291-SUCHES,,,
245-104,,,
111-TOCCOA,,,
111-MORGANTON,,,
245-701,,,
245-709,,,
245-103,,,
111-HOTHOUSE,,,
245-702,,,
111-FLINTHILL,,,
111-HEMPTOWN,,,
291-JONES CREEK,,,
245-112,,,
169-HAWKINS,,,
245-707,,,
291-OWLTOWN,,,
245-703,,,
245-106,,,
279-43 CEDAR CROSSING,,,
209-KIBBEE,,,
107-OAK PARK,,,
319-IVEY,,,
283-ANNEX,,,
245-109,,,
135-HOG MOUNTAIN A,,,
135-SUGAR HILL E,,,
135-SUGAR HILL B,,,
135-PINCKNEYVILLE X,,,
135-SUWANEE B,,,
135-CATES G,,,
135-CATES B,,,
135-GOODWINS B,,,
135-MARTINS H,,,
135-HOG MOUNTAIN D,,,
135-CATES O,,,
135-SUGAR HILL A,,,
135-PINCKNEYVILLE I,,,
135-PINCKNEYVILLE E,,,
135-ROCKBRIDGE E,,,
135-DULUTH B,,,
057-ARNOLD MILL,,,
057-WILDCAT,,,
057-AIR ACRES,,,
057-SUTALLEE,,,
057-BRIDGEMILL,,,
057-HICKORY FLAT,,,
057-BRADSHAW,,,
135-CATES E,,,
213-CARTERS-DOOLITTLE,,,
313-FI,,,
213-SPRING PLACE,,,
213-TOWN,,,
057-WOODLANDS,,,
213-SHUCK PEN,,,
213-MCDONALD,,,
057-LITTLE RIVER,,,
123-ELLIJAY SOUTH,,,
313-LT,,,
123-TAILS CREEK,,,
123-ELLIJAY NORTH,,,
313-GL,,,
123-MOUNTAINTOWN,,,
057-SIXES,,,
313-NI,,,
223-PICKETTS MILL BAPTIST CHURCH,,,
223-SHELTON ELEMENTARY,,,
223-BEULAHLAND BAPTIST CHURCH,,,
223-POPLAR SPRGS BAPT CHURCH,,,
313-UT,,,
223-MULBERRY ROCK PARK,,,
223-LEGACY BAPT CHURCH,,,
213-NORTH,,,
057-WOODSTOCK,,,
057-CARMEL,,,
223-TAYLOR FARM PARK,,,
223-PAULDING SR CENTER,,,
223-WHITE OAK PARK,,,
223-NEBO ELEM SCHOOL,,,
063-ELLENWOOD 2,,,
073-HARLEM SENIOR CENTER,,,
063-JONESBORO 1,,,
051-POOLER REC CENTER GYM,,,
117-15 HEARDSVILLE,,,
117-16 OTWELL,,,
117-03 BROWNS BRIDGE,,,
117-34 FOWLER,,,
117-08 MASHBURN,,,
051-JENKINS HIGH SCHOOL,,,
051-COKESBURY METHODIST,,,
051-STILLWELL TOWERS,,,
117-36 NICHOLS,,,
117-35 JOHNS CREEK,,,
117-19 OLD ATLANTA,,,
117-05 COAL MOUNTAIN,,,
117-06 CROSSROADS,,,
117-25 WINDERMERE,,,
117-37 SAWNEE,,,
117-10 MIDWAY,,,
139-MORGAN I,,,
139-FRIENDSHIP I,,,
059-2A,,,
297-LOGANVILLE SOUTH,,,
057-MOUNTAIN ROAD,,,
139-GAINESVILLE III,,,
139-CHICOPEE,,,
117-21 SOUTH FORSYTH,,,
051-BUTLER PRESBYTERIAN CHURCH,,,
051-CARVER HEIGHTS COMM CTR,,,
051-BUTLER ELEMENTARY,,,
059-3B,,,
059-5D,,,
051-W BROAD ST YMCA,,,
051-SENIOR CITIZENS CENTER,,,
139-MORGAN II,,,
051-HELLENIC CENTER,,,
051-WILLIAMS COURT APTS,,,
051-CIVIC CENTER,,,
051-SALVATION ARMY,,,
051-BIBLE BAPTIST CHURCH,,,
051-W W LAW CENTER,,,
051-TEMPLE MICKVE ISRAEL,,,
051-TOMPKINS REC CENTER,,,
139-FRIENDSHIP IV,,,
139-FLOWERY BRANCH I,,,
139-FRIENDSHIP II,,,
051-MOSES JACKSON CENTER,,,
051-RESURRECTION OF OUR LORD CHURCH,,,
139-OAKWOOD I,,,
139-OAKWOOD II,,,
051-HOLY SPIRIT LUTHERAN CHURCH,,,
139-BARK CAMP,,,
139-CHESTATEE,,,
085-EAST,,,
311-MOSSY CREEK,,,
139-LULA,,,
313-ES,,,
213-SOUTHWEST,,,
139-FRIENDSHIP III,,,
135-GOODWINS A,,,
135-BAYCREEK B,,,
135-BAYCREEK A,,,
117-29 POLO,,,
117-07 CUMMING,,,
135-PINCKNEYVILLE V,,,
135-DULUTH A,,,
187-DAHLONEGA,,,
089-BETHUNE MIDDLE,,,
089-KITTREDGE ELEM,,,
089-METROPOLITAN,,,
089-GLENHAVEN,,,
089-HARRIS-NARVIE J HARRIS ELEM,,,
089-CANBY LANE ELEM,,,
089-FLAT SHOALS PARKWAY,,,
089-COLUMBIA ELEM,,,
089-BOULEVARD,,,
089-BRIAR VISTA ELEM,,,
089-CORALWOOD,,,
089-BRIARCLIFF,,,
089-HAWTHORNE ELEM,,,
089-KELLEY CHAPEL ROAD,,,
089-CEDAR GROVE MIDDLE,,,
089-BOULDERCREST ROAD,,,
089-RAINBOW ELEM,,,
089-SHAW-ROBERT SHAW ELEM,,,
089-AVONDALE,,,
089-CROSSROADS,,,
089-MIDWAY,,,
089-OAK VIEW ELEM,,,
089-KINGSLEY ELEM,,,
089-ASHFORD PARKSIDE,,,
085-WEST,,,
097-LUTHERAN CHURCH-GS,,,
121-11C,,,
089-ALLGOOD ELEM,,,
089-AUSTIN,,,
089-DORAVILLE NORTH,,,
089-DORAVILLE SOUTH,,,
313-2A,,,
097-TURNER,,,
097-DEER LICK,,,
085-CENTRAL,,,
227-YELLOW CREEK,,,
313-TI,,,
313-MC,,,
047-BLACKSTOCK,,,
313-DG,,,
313-WS,,,
097-BEULAH BAPTIST CHURCH,,,
313-AN,,,
051-IMMANUEL BAPTIST CHURCH,,,
313-1A,,,
313-3A,,,
313-4A,,,
313-TH,,,
057-CONNS CREEK,,,
313-CA,,,
227-NELSON,,,
051-FIRST PRESBYTERIAN CHURCH,,,
051-THE LIGHT CHURCH,,,
051-BARTLETT MIDDLE SCHOOL,,,
051-RICE CREEK SCHOOL,,,
051-GARDEN CITY SENIOR CTR,,,
051-CENTRAL CHURCH OF CHRIST,,,
051-TATUMVILLE COMMUNITY CENTER,,,
051-LIBERTY CITY COMM CTR,,,
089-ROWLAND ROAD,,,
089-MARBUT ELEM,,,
089-MCWILLIAMS,,,
089-MEDLOCK,,,
089-MIDVALE ELEM,,,
089-MONTCLAIR ELEM,,,
089-PONCE DE LEON,,,
089-MONTGOMERY ELEM,,,
089-OAK GROVE ELEM,,,
089-HENDERSON MILL,,,
089-LAVISTA,,,
089-INDIAN CREEK,,,
089-JOHNSON ESTATES,,,
089-SNAPFINGER ROAD,,,
089-PEACHCREST,,,
089-MILLER-ELDRIDGE L MILLER ELEM,,,
089-LITHONIA,,,
089-PANOLA ROAD,,,
089-FLAT SHOALS ELEM,,,
089-FLAT SHOALS LIBRARY,,,
089-FLAT ROCK ELEM,,,
089-LITHONIA HIGH,,,
089-REDAN-TROTTI LIBRARY,,,
089-GEORGETOWN SQ,,,
089-CANDLER PARK,,,
089-LIVSEY ELEM,,,
089-EMBRY HILLS,,,
089-REDAN ROAD,,,
089-EVANSDALE ELEM,,,
089-ROCK CHAPEL ROAD,,,
089-SAGAMORE HILLS ELEM,,,
089-FAIRINGTON ELEM,,,
089-DUNAIRE ELEM,,,
089-KNOLLWOOD,,,
089-DUNWOODY,,,
089-OAKCLIFF ELEM,,,
089-DUNWOODY 2,,,
089-PEACHTREE MIDDLE,,,
089-DRUID HILLS HIGH,,,
089-MATHIS-BOB MATHIS ELEM,,,
089-COVINGTON HWY,,,
089-COVINGTON,,,
089-EMORY SOUTH,,,
089-LAKESIDE HIGH,,,
089-CLAIREMONT EAST,,,
089-HUNTLEY HILLS ELEM,,,
089-DRESDEN ELEM,,,
089-MOUNT VERNON WEST,,,
089-SCOTT,,,
089-CLAIRMONT ROAD,,,
089-FERNBANK ELEM,,,
089-LIN-MARY LIN ELEM,,,
089-CLIFTON,,,
089-MOUNT VERNON EAST,,,
089-CEDAR GROVE SOUTH,,,
089-FLAKES MILL FIRE STATION,,,
089-FREEDOM MIDDLE,,,
089-CEDAR GROVE ELEM,,,
089-CANDLER-MURPHEY CANDLER ELEM,,,
089-PINE LAKE,,,
089-CHAPEL HILL ELEM,,,
089-CHESNUT ELEM,,,
089-DUNWOODY LIBRARY,,,
089-CLAIREMONT WEST,,,
121-ML02A,,,
121-ML01B,,,
121-MP01,,,
121-RW09A,,,
121-RW09,,,
121-RW01,,,
121-RW11A,,,
121-RW02,,,
121-SS18A,,,
121-SS18B,,,
121-SS19A,,,
121-SS22,,,
121-SS19B,,,
121-RW11B,,,
121-SS09A,,,
121-SS16,,,
013-01 BETHLEHEM COMMUNITY CENTER,,,
125-EDGEHILL,,,
301-WARRENTON,,,
121-08A,,,
121-08F2,,,
121-08E,,,
121-09A,,,
121-09M,,,
163-LOUISVILLE,,,
217-CEDAR SHOALS,,,
247-HI,,,
303-WARTHEN,,,
125-MITCHELL,,,
107-CROSS-GREEN,,,
141-SPARTA 4C,,,
125-GIBSON,,,
247-MI,,,
123-BOARDTOWN,,,
123-CARTECAY,,,
217-BEAVERDAM,,,
217-ALMON,,,
247-OT,,,
217-CROWELL,,,
247-BT,,,
121-CP08A,,,
121-SC27,,,
121-CP06A,,,
123-EAST ELLIJAY,,,
111-COLWELL,,,
217-GUM CREEK,,,
123-ELLIJAY NORTHEAST,,,
111-MOBILE,,,
121-JC06,,,
121-JC13A,,,
121-JC13B,,,
121-JC01,,,
121-JC19,,,
121-RW10,,,
121-JC03B,,,
121-CP083,,,
121-JC11,,,
121-JC12,,,
121-JC01A,,,
121-JC02,,,
121-AP09B,,,
063-LOVEJOY 6,,,
063-MORROW 11,,,
063-JONESBORO 17,,,
063-LOVEJOY 7,,,
063-MORROW 3,,,
285-LONG CANE,,,
063-LOVEJOY 3,,,
151-LIGHTHOUSE,,,
073-HARLEM BRANCH LIBRARY,,,
073-PATRIOTS PARK,,,
073-PHILADELPHIA CHURCH,,,
073-CHRIST THE KING LUTH CHURCH,,,
073-PARKWAY BAPTIST CHURCH,,,
073-LIBERTY PARK-GROVETOWN,,,
073-RIVERVIEW CHURCH,,,
073-GRACE BAPTIST CHURCH,,,
073-ABILENE BAPTIST,,,
073-BLANCHARD PARK,,,
073-AUGUSTA CHRISTIAN,,,
073-MARVIN METHODIST,,,
073-BELAIR BAPTIST CHURCH,,,
073-BESSIE THOMAS CENTER,,,
073-WOODLAWN BAPTIST CHURCH,,,
073-TRINITY BAPTIST CHURCH,,,
073-BLUE RIDGE ELEMENTARY,,,
121-CP07B,,,
121-ML05,,,
121-FA01C,,,
121-SC23A,,,
121-12E2,,,
121-HP01,,,
121-CP02,,,
121-CP04B,,,
121-ML06B,,,
121-JC04A,,,
121-AP05,,,
121-JC04C,,,
121-ML06A,,,
121-AP12B,,,
121-ML07A,,,
121-ML07B,,,
135-LAWRENCEVILLE B,,,
135-CATES M,,,
135-CATES I,,,
135-BAYCREEK C,,,
135-MARTINS B,,,
073-GROVETOWN METHODIST CHURCH,,,
073-SECOND MT MORIAH BAPTIST CHURCH,,,
073-G A APOSTOLIC CHURCH,,,
135-MARTINS C,,,
135-MARTINS G,,,
135-GOODWINS C,,,
135-PINCKNEYVILLE C,,,
135-PINCKNEYVILLE B,,,
135-DULUTH F,,,
135-MARTINS E,,,
135-MARTINS A,,,
055-CLOUDLAND,,,
013-05 FIRE STATION 1 (STATHAM),,,
013-04 COVENANT LIFE SANCTUARY,,,
135-MARTINS J,,,
135-GOODWINS F,,,
135-PINCKNEYVILLE L,,,
135-PINCKNEYVILLE A,,,
135-MARTINS I,,,
013-03 HMONG NEW HOPE ALLIANCE CHURCH,,,
053-ACTIVITY CENTER (Includes FTBEN 1-3),,,
055-TELOGA,,,
013-13 WINDER COMMUNITY CENTER,,,
015-CASSVILLE,,,
013-16 THE CHURCH AT WINDER,,,
013-08 FIRST BAPTIST CHURCH WINDER,,,
043-JACK STRICKLAND COMM CENTER,,,
015-HAMILTON CROSSING,,,
077-NEWNAN CENTRE,,,
219-BISHOP,,,
281-MACEDONIA,,,
219-CITY HALL,,,
243-CUTHBERT-COURTHOUSE,,,
051-ROYAL CINEMAS AND IMAX,,,
013-02 BETHLEHEM CHURCH - 211,,,
243-SHELLMAN,,,
051-POOLER CHURCH,,,
185-VSU UC # 2,,,
285-GARDNER NEWMAN,,,
185-MT CALVARY,,,
185-JAYCEE SHACK,,,
285-ADMINISTRATION BLDG,,,
219-COLHAM FERRY,,,
285-ROSEMONT,,,
285-GRAY HILL,,,
285-HOGANSVILLE,,,
285-NORTHSIDE,,,
285-WEST POINT,,,
285-HOLLIS HAND,,,
285-MCCLENDON,,,
185-NORTHSIDE,,,
285-EAST VERNON,,,
189-133A,,,
147-BIO,,,
147-SHOAL CREEK,,,
311-TOWN CREEK,,,
147-COKESBURY,,,
147-HARTWELL,,,
063-ELLENWOOD 1,,,
311-TESNATEE,,,
311-MT YONAH,,,
311-NACOOCHEE,,,
291-CHOESTOE,,,
311-HELEN,,,
105-CENTERVILLE,,,
147-BOWERSVILLE,,,
311-BLUE CREEK,,,
071-MOULTRIE,,,
071-ROBINSON,,,
071-MILLCREEK,,,
027-PAVO,,,
071-LEE,,,
311-BLUE RIDGE,,,
291-TRACKROCK,,,
071-FUNSTON,,,
071-MONK,,,
071-CROSLAND,,,
105-ELBERTON,,,
321-MINTON,,,
321-SCOOTERVILLE,,,
071-AUTREYVILLE,,,
071-HOPEWELL,,,
027-MORVEN,,,
195-COLBERT,,,
265-CRAWFORDVILLE,,,
195-FORK,,,
195-COMER,,,
317-RAYLE CITY HALL,,,
071-SHAW,,,
071-NORMAN PARK,,,
221-LEXINGTON,,,
063-OAK 5,,,
185-RAINWATER,,,
063-JONESBORO 19,,,
185-HAHIRA TRAIN DEPOT,,,
221-BEAVERDAM,,,
133-UNION POINT,,,
195-DANIELSVILLE,,,
073-CHRIST CHURCH PRESBYTERIAN,,,
073-GREENBRIER HIGH,,,
063-MORROW 10,,,
073-COL CTY MAIN LIBRARY,,,
073-JOURNEY COMM CHURCH,,,
063-OAK 3,,,
063-MORROW 5,,,
073-GROVE FIRST BAPTIST CHURCH,,,
073-STEVENS CREEK CHURCH,,,
073-LEWIS METHODIST CHURCH,,,
189-133B,,,
073-GOSPEL WATER BRANCH,,,
073-WESLEY METHODIST,,,
073-WESTSIDE BAPTIST CHURCH,,,
073-CHRIST SANCTIFIED,,,
121-07C,,,
121-SS12,,,
121-SS08A,,,
121-07M,,,
121-07E,,,
121-SS14,,,
121-07B,,,
121-12M,,,
121-01P,,,
121-SS08D,,,
121-SS20,,,
121-06D1,,,
121-01R,,,
121-06D2,,,
121-05A2,,,
121-02E,,,
121-SS17,,,
121-SS01,,,
121-01T,,,
121-01B,,,
121-06I,,,
089-WINTERS CHAPEL,,,
089-YOUNG ROAD,,,
089-WYNBROOKE ELEM,,,
089-SHADOW ROCK ELEM,,,
089-SOUTH DESHON,,,
089-STONECREST LIBRARY,,,
121-06D,,,
121-06F,,,
089-TILLY MILL ROAD,,,
089-VALLEY BROOK,,,
089-WESLEY CHAPEL LIBRARY,,,
089-COAN RECREATION CENTER,,,
089-WOODROW ROAD,,,
089-WOODRIDGE ELEM,,,
089-WARREN TECH,,,
089-WHITE OAK,,,
089-STONE MTN CHAMPION,,,
089-STONE MTN,,,
089-STEPHENSON MIDDLE,,,
089-SOUTH HAIRSTON,,,
089-STEPHENSON HIGH,,,
089-TERRY MILL,,,
089-TONEY ELEM,,,
089-TUCKER,,,
089-ROCK CHAPEL ELEM,,,
089-ROCKBRIDGE ROAD,,,
089-SILVER LAKE,,,
089-SKYLAND,,,
089-STONE MILL ELEM,,,
089-STONEVIEW ELEM,,,
089-SALEM MIDDLE,,,
089-SHAMROCK,,,
089-PLEASANTDALE ROAD,,,
089-MILLER GROVE ROAD,,,
089-REDAN MIDDLE,,,
089-MILLER GROVE HIGH,,,
089-NORTH PEACHTREE,,,
089-PRINCETON ELEM,,,
089-PANOLA,,,
089-REDAN ELEM,,,
089-GLENNWOOD,,,
089-AVONDALE HIGH,,,
089-WINNONA PARK,,,
089-MONTREAL,,,
089-BRIARLAKE ELEM,,,
089-CANDLER,,,
089-EAST LAKE,,,
089-KELLEY LAKE ELEM,,,
089-MCNAIR,,,
089-GRESHAM ROAD,,,
089-MEADOWVIEW,,,
089-COLUMBIA MIDDLE,,,
089-FLAT SHOALS,,,
089-BROWNS MILL ELEM,,,
089-SNAPFINGER ELEM,,,
089-WADSWORTH,,,
089-COLUMBIA DRIVE,,,
089-ROWLAND ELEM,,,
089-AUSTIN DRIVE,,,
089-SNAPFINGER ROAD N,,,
089-GLENWOOD ROAD,,,
089-IDLEWOOD ELEM,,,
089-JOLLY ELEM,,,
089-HAMBRICK ELEM,,,
089-STONE MTN MIDDLE,,,
089-BROCKETT ELEM,,,
089-MEMORIAL SOUTH,,,
089-ROCKBRIDGE ELEM,,,
089-SNAPFINGER ROAD S,,,
089-ASHFORD PARK ELEM,,,
089-CROSS KEYS HIGH,,,
089-BRIARWOOD,,,
089-BROOKHAVEN,,,
089-NORTHLAKE,,,
089-REHOBOTH,,,
089-BROCKETT,,,
089-NORTH HAIRSTON,,,
089-PANOLA WAY ELEM,,,
089-EMORY ROAD,,,
089-LAVISTA ROAD,,,
089-HARRIS-MARGARET HARRIS ED,,,
089-WOODWARD,,,
089-ASHFORD DUNWOODY RD,,,
089-CHAMBLEE 2,,,
089-CHAMBLEE,,,
089-BURGESS ELEM,,,
089-NORTH DECATUR,,,
089-TUCKER LIBRARY,,,
089-MIDVALE ROAD,,,
089-HUGH HOWELL,,,
089-SMOKE RISE,,,
089-STONE MOUNTAIN ELEM,,,
089-MILLER GROVE,,,
089-OAKHURST,,,
089-DECATUR,,,
089-CLARKSTON,,,
089-MCLENDON,,,
089-CLARKSTON COMMUNITY CENTER,,,
089-MCNAIR ACADEMY,,,
089-PINEY GROVE,,,
089-MCNAIR HIGH,,,
215-ST JOHN/BELVEDERE,,,
