Precincts,Demographics,Candidates,Abstain
113-SHAKERAG WEST,,,
113-OAK GROVE,,,
063-JONESBORO 8,,,
063-MORROW 8,,,
293-SALEM,,,
151-STAGECOACH,,,
113-FAYETTEVILLE WEST,,,
293-YATESVILLE,,,
269-PRECINCT 6,,,
293-REDBONE,,,
255-13,,,
113-JEFF DAVIS,,,
113-HOPEFUL,,,
113-MORNING CREEK,,,
113-FAYETTEVILLE EAST,,,
113-BLACKROCK,,,
113-BANKS,,,
063-RIVERDALE 2,,,
063-LOVEJOY 5,,,
113-EUROPE,,,
113-KENWOOD,,,
113-OAK RIDGE,,,
269-PRECINCT 1,,,
269-PRECINCT 5,,,
063-RIVERDALE 12,,,
063-JONESBORO 12,,,
063-JONESBORO 16,,,
063-RIVERDALE 9,,,
063-JONESBORO 2,,,
121-JC15,,,
113-FLINT,,,
151-NORTH HAMPTON,,,
151-SOUTH HAMPTON,,,
063-PANHANDLE 2,,,
121-08N1,,,
121-08N2,,,
121-JC14,,,
121-JC05,,,
063-LOVEJOY 4,,,
063-JONESBORO 13,,,
063-PANHANDLE 1,,,
063-RIVERDALE 5,,,
151-STOCKBRIDGE CENTRAL,,,
151-COTTON INDIAN,,,
151-ELLENWOOD,,,
151-RED OAK,,,
121-SC08D,,,
121-AP01E,,,
121-UC033,,,
121-SC17B,,,
121-09K1,,,
121-CH03,,,
121-FC01,,,
121-SC13,,,
121-SC15A,,,
121-CH02,,,
121-RW21,,,
121-PA01,,,
121-CH04A,,,
121-SC212,,,
121-SC211,,,
121-SC23C,,,
121-FA01B,,,
121-JC07,,,
121-AP01D,,,
121-AP01C,,,
121-AP01B,,,
121-SS26,,,
121-JC08,,,
121-RW08,,,
121-JC09,,,
119-CANON,,,
257-SENIOR CENTER,,,
247-HC,,,
247-BA,,,
247-ST,,,
247-CO,,,
247-RO,,,
247-SM,,,
151-PLEASANT GROVE,,,
105-PIKE,,,
119-CARNESVILLE,,,
119-WEST FRANKLIN,,,
119-ROYSTON,,,
195-HARRISON,,,
119-NORTHEAST FRANKLIN,,,
119-LAVONIA,,,
113-WHITEWATER,,,
113-STARRSMILL,,,
113-BRAELINN,,,
147-GOLDMINE,,,
105-GOSHEN,,,
195-COLLINS,,,
195-PAOLI,,,
247-LO,,,
145-WAVERLY HALL,,,
145-ELLERSLIE,,,
215-PSALMOND/MATHEWS,,,
113-SPRING HILL,,,
113-RISING STAR,,,
113-DOGWOOD,,,
113-WILLOW POND,,,
113-BROOKS,,,
263-GENEVA,,,
263-BOX SPRINGS,,,
199-DURAND,,,
199-GILL I,,,
263-FLINT HILL,,,
263-JUNCTION CITY,,,
263-TALBOTTON,,,
145-GOODMAN,,,
073-GROVETOWN PUBLIC SAFETY STATION 2,,,
073-KIOKEE BAPTIST CHURCH,,,
245-405,,,
245-406,,,
245-809,,,
245-807,,,
245-804H,,,
033-FOUR POINTS,,,
033-SCOTTS CROSSROADS,,,
033-VIDETTE,,,
165-PERKINS,,,
251-ROCKY FORD,,,
031-BLITCH,,,
031-LOCKHART,,,
245-804,,,
073-NEW LIFE CHURCH,,,
165-COURT HOUSE,,,
165-PRIMARY SCHOOL,,,
033-KEYSVILLE,,,
163-MATTHEWS,,,
033-GOUGH,,,
033-ALEXANDER,,,
165-FOUR POINTS,,,
031-PORTAL,,,
321-SHINGLER,,,
321-SYLVESTER EAST,,,
073-LAKESIDE MIDDLE,,,
073-MARTINEZ BAPTIST,,,
245-308,,,
073-MTZ COL FIRE HDQTR,,,
165-SENIOR CITIZENS CENTER,,,
033-MUNNERLYN,,,
287-ASHBURN,,,
081-CORDELE,,,
287-SYCAMORE,,,
277-TIFTON NORTHEAST,,,
277-TIFTON NORTHWEST,,,
277-CHULA,,,
321-DOLES,,,
321-ISABELLA,,,
003-PEARSON COUNTY,,,
075-MASSEE,,,
229-ALABAHA,,,
229-ST JOHNS-BLACKSHEAR,,,
091-YONKER,,,
091-RAWLINS,,,
081-LISTONIA,,,
081-ARABI,,,
277-TIFTON SOUTH,,,
101-STATENVILLE,,,
299-Millwood,,,
277-MOTT-LITMAN GYM,,,
277-ELDORADO,,,
277-DOCIA,,,
075-LENOX,,,
277-BROOKFIELD,,,
185-S LOWNDES,,,
039-BROWNTOWN,,,
185-CLYATTVILLE,,,
185-DASHER,,,
065-DUPONT,,,
185-MILDRED,,,
185-NAYLOR,,,
075-CECIL,,,
255-08,,,
255-10,,,
255-11,,,
255-07,,,
171-MILNER,,,
171-BARNESVILLE,,,
231-WILLIAMSON,,,
207-BRANTLEYS,,,
277-BRIGHTON,,,
277-TIFTON LODGE,,,
079-DISTRICT 1A,,,
079-DISTRICT 1B,,,
315-ROCHELLE SOUTH 4,,,
315-PITTS 3,,,
255-06,,,
255-05,,,
079-DISTRICT 3,,,
225-FORT VALLEY 1,,,
207-KELSEYS,,,
207-RUSSELLVILLE,,,
171-REDBONE,,,
207-CULLODEN,,,
287-REBECCA,,,
155-IRWINVILLE,,,
115-NORTH CAROLINA,,,
055-SEMINOLE,,,
199-WARM SPRINGS,,,
145-VALLEY PLAINS,,,
199-ODESSADALE,,,
145-PINE MOUNTAIN VALLEY,,,
079-DISTRICT 2,,,
079-DISTRICT 4,,,
055-LYERLY,,,
115-TOWN ROME,,,
033-SARDIS,,,
251-SCREVEN REC DEPT,,,
115-TEXAS VALLEY,,,
055-ALPINE,,,
115-VANNS VALLEY,,,
115-BARKERS,,,
255-03,,,
255-01,,,
045-V R COUNTY SOUTH,,,
045-TEMPLE COUNTY,,,
045-TEMPLE CITY,,,
045-SANDHILL,,,
055-SUMMERVILLE,,,
055-COLDWATER,,,
215-GENTIAN/REESE,,,
193-MARSHALLVILLE,,,
145-HAMILTON,,,
145-CATAULA,,,
215-SALVATION ARMY,,,
215-ST ANDREWS/MIDLAND,,,
255-16,,,
255-02,,,
033-BLAKENEY,,,
033-ST CLAIR,,,
245-801B,,,
245-803,,,
245-801,,,
245-810,,,
215-CANAAN,,,
215-MOON/MORNINGSIDE,,,
271-MILAN,,,
069-BROXTON,,,
091-MCCRANIE,,,
091-VILULA,,,
091-PONDTOWN,,,
091-MITCHELL,,,
017-WEST,,,
155-HOLT,,,
153-HCTC,,,
153-ANNX,,,
093-PINEHURST,,,
093-VIENNA,,,
